Variety,Density,Yield
A,10,7.9
A,10,9.2
A,10,10.5
A,20,11.2
A,20,12.8
A,20,13.3
A,30,12.1
A,30,12.6
A,30,14
A,40,9.1
A,40,10.8
A,40,12.5
B,10,8.1
B,10,8.6
B,10,10.1
B,20,11.5
B,20,12.7
B,20,13.7
B,30,13.7
B,30,14.4
B,30,15.4
B,40,11.3
B,40,12.5
B,40,14.5
C,10,15.3
C,10,16.1
C,10,17.5
C,20,16.6
C,20,18.5
C,20,19.2
C,30,18
C,30,20.8
C,30,21
C,40,17.2
C,40,18.4
C,40,18.9
