Property Address,Reference#,Mo,Yr,Price,Inst,Area,$/SF,YrBlt,GarType,Gar#,BR,FB,HB,BB,BH,C/A,FP,Bsmt,%Fin,Land SF,Zone,Exterior1,Style,Type
702 RIDGEWOOD AVE,09-03-425-300,10,2010,62000,WRD,498,124.50,1946,None,0,1,1,0,0,0,No,0,0,0,6840,RL,MetalSd,1-Story,1FamDet
4120 ONTARIO ST,09-05-101-020,03,2011,132500,WRD,946,140.06,1964,Attachd,2,3,1,0,0,0,Yes,0,925,50,9813,RL,HdBoard,1-Story,1FamDet
4023 QUEBEC ST,09-05-101-380,07,2010,118500,COD,1040,113.94,1964,Attachd,1,3,1,0,0,0,Yes,0,1040,63,11272,RL,MetalSd,1-Story,1FamDet
826 YUMA AVE,09-05-105-200,06,2010,137900,WRD,892,154.60,1966,Detachd,1,3,1,0,1,0,Yes,0,864,83,7800,RL,HdBoard,1-Story,1FamDet
932 YUMA AVE,09-05-105-260,07,2011,131500,WRD,955,137.70,1966,Attachd,1,3,1,0,1,0,Yes,0,955,80,7742,RL,HdBoard,1-Story,1FamDet
1209 SCHOLL RD,09-05-200-160,07,2011,96000,WRD,1006,95.43,1959,None,0,3,1,0,0,0,Yes,0,1006,29,9000,RL,Wd Sdng,1-Story,1FamDet
3431 ROSS RD,09-05-201-090,05,2011,173500,WRD,1437,120.74,1956,Detachd,2,3,1,1,1,0,Yes,1,1188,83,14175,RL,CemntBd,1-Story,1FamDet
312 WESTBROOK LN,09-05-351-131,08,2010,168000,WRD,1232,136.36,1994,Attachd,2,1,1,1,1,0,Yes,1,1232,42,6487,F-PRD,Wd Sdng,1-Story,1FamDet
318 WESTBROOK LN,09-05-351-140,06,2010,250000,WRD,1412,177.05,1991,Attachd,2,1,1,1,1,0,Yes,1,1412,96,9319,F-PRD,Wd Sdng,1-Story,1FamDet
117 MCDONALD DR,09-05-377-020,04,2011,135000,WRD,1630,82.82,1953,Detachd,2,3,2,0,0,0,Yes,1,1073,55,22692,RL,MetalSd,1-Story,1FamDet
111 MCDONALD DR,09-05-377-030,12,2010,155000,New,1317,117.69,2010,No Data,0,3,1,0,1,0,Yes,0,1317,20,7000,RL,VinylSd,1-Story,1FamDet
519 OLIVER CIR,09-05-401-060,10,2010,264000,WRD,1663,158.75,1954,Attachd,2,2,1,0,1,0,Yes,2,1364,82,53227,RL,Plywood,1-Story,1FamDet
424 OLIVER AVE,09-05-403-140,07,2010,179900,WRD,1749,102.86,1954,Attachd,2,3,1,0,1,0,Yes,0,1749,5,9958,RL,MetalSd,1-Story,1FamDet
3403 WOODLAND ST,09-05-426-110,04,2011,127000,WRD,1366,92.97,1948,Attachd,1,3,1,0,0,0,Yes,1,574,0,11263,RL,WdShing,1-Story,1FamDet
3433 WOODLAND ST,09-05-426-200,06,2010,144500,WRD,1074,134.54,1950,Attachd,1,3,1,0,1,0,Yes,1,663,74,11479,RL,Wd Sdng,1-Story,1FamDet
3630 STORY ST,09-05-451-320,06,2010,129000,WRD,1144,112.76,1956,Attachd,1,3,1,0,1,0,Yes,0,1144,65,9571,RL,Wd Sdng,1-Story,1FamDet
322 CRANE AVE,09-05-452-160,06,2010,128000,WRD,1172,109.22,1954,Attachd,1,3,1,0,1,0,Yes,0,1172,81,9525,RL,WdShing,1-Story,1FamDet
3611 STORY ST,09-05-453-010,12,2010,171900,WRD,972,176.85,2009,Attachd,2,2,1,0,1,0,Yes,0,972,76,9546,RL,VinylSd,1-Story,1FamDet
3605 STORY ST,09-05-453-020,08,2010,194400,New,988,196.76,2009,Attachd,2,2,1,0,0,0,Yes,0,988,0,10022,RL,VinylSd,1-Story,1FamDet
310 COLORADO CIR,09-05-475-510,06,2010,114000,COD,1298,87.83,1964,Detachd,2,3,2,0,0,0,Yes,0,1250,0,11200,RL,Wd Sdng,1-Story,1FamDet
121 WILMOTH AVE,09-05-479-060,03,2011,99000,WRD,1612,61.41,1950,Attachd,1,3,1,0,0,0,No,2,0,0,10880,RL,HdBoard,1-Story,1FamDet
1111 OKLAHOMA DR,09-06-201-120,06,2010,270000,WRD,1433,188.42,1987,Attachd,2,1,1,1,1,0,Yes,2,1433,100,11980,RL,Plywood,1-Story,1FamDet
1218 IDAHO CT,09-06-204-220,04,2011,206000,COD,1407,146.41,1991,Attachd,2,3,2,0,1,0,Yes,2,1375,58,18502,RL,HdBoard,1-Story,1FamDet
5321 TABOR DR,09-06-378-130,10,2010,309500,Ctr,1416,218.57,2009,Attachd,2,2,2,0,1,0,Yes,1,1416,83,9178,FS-RL,VinylSd,1-Story,1FamDet
414 HARTFORD DR,09-06-382-010,05,2011,275000,WRD,1486,185.06,2010,Attachd,3,3,2,0,1,0,Yes,0,1486,68,15925,FS-RL,VinylSd,1-Story,1FamDet
5523 DURANT ST,09-06-385-040,09,2010,199800,New,1292,154.64,2010,Attachd,2,2,2,0,0,0,Yes,0,1292,0,7445,FS-RL,VinylSd,1-Story,1FamDet
5512 DURANT ST,09-06-385-080,05,2011,189500,WRD,1430,132.52,2010,Attachd,2,3,2,0,0,0,Yes,1,1400,0,7648,FS-RL,CemntBd,1-Story,1FamDet
5328 DURANT ST,09-06-392-060,06,2011,212500,New,1260,168.65,2010,Attachd,3,2,2,0,0,0,Yes,0,1260,0,7314,FS-RL,VinylSd,1-Story,1FamDet
920 IDAHO AVE,09-06-402-190,07,2011,276000,WRD,2274,121.37,1988,Attachd,2,3,2,1,1,0,Yes,1,1784,71,11834,RL,VinylSd,1-Story,1FamDet
4607 WESTBEND DR,09-06-476-120,07,2011,163000,WRD,1283,127.05,1972,Basment,2,2,1,0,1,0,Yes,0,737,65,11822,RL,Plywood,1-Story,1FamDet
4530 WESTBEND DR,09-06-478-060,07,2011,205500,WRD,1190,172.69,1971,Detachd,2,1,1,1,1,0,Yes,1,1176,96,15810,RL,Plywood,1-Story,1FamDet
5402 SCHUBERT ST,09-07-125-080,11,2010,146500,WRD,1100,133.18,1996,Attachd,2,3,1,1,1,0,Yes,0,1100,74,13015,RL,VinylSd,1-Story,1FamDet
5315 SCHUBERT ST,09-07-127-040,07,2011,176000,WRD,1408,125.00,1997,Attachd,2,3,2,0,0,0,Yes,0,1392,0,8678,RL,VinylSd,1-Story,1FamDet
312 WILDER BLVD,09-07-131-170,03,2011,206500,WRD,1452,142.22,1999,Attachd,2,3,2,0,1,0,Yes,0,1441,52,11198,RL,VinylSd,1-Story,1FamDet
5454 FROST DR,09-07-135-080,12,2010,145000,WRD,1097,132.18,1996,Attachd,1,3,1,1,1,0,Yes,0,1097,50,16561,RL,VinylSd,1-Story,1FamDet
5210 CLEMENS BLVD,09-07-196-010,09,2010,206000,WRD,1347,152.93,2001,Attachd,3,3,2,0,0,0,Yes,1,1347,10,11273,RL,VinylSd,1-Story,1FamDet
5006 TODD DR,09-07-200-140,04,2011,130000,WRD,1036,125.48,1973,Attachd,1,3,1,0,0,0,Yes,0,1036,0,9550,RL,HdBoard,1-Story,1FamDet
5117 SCHUBERT ST,09-07-200-200,07,2011,135500,WRD,960,141.15,1976,Detachd,2,3,1,0,0,0,Yes,0,960,60,8400,RL,HdBoard,1-Story,1FamDet
108 SANDBURG CT,09-07-200-280,06,2010,150000,WRD,1026,146.20,1977,Attachd,1,3,1,1,1,0,Yes,0,1026,86,15240,RL,CemntBd,1-Story,1FamDet
410 THACKERAY AVE,09-07-202-010,04,2011,160500,WRD,1174,136.71,1978,Attachd,2,3,1,0,1,0,Yes,0,864,90,12250,RL,HdBoard,1-Story,1FamDet
4907 SCHUBERT ST,09-07-203-070,06,2010,127000,WRD,876,144.98,1972,Detachd,2,3,1,0,1,0,Yes,0,876,55,7480,RL,Wd Sdng,1-Story,1FamDet
324 ROCKWELL AVE,09-07-227-050,06,2011,121000,WRD,864,140.05,1972,Detachd,1,3,1,0,0,0,Yes,0,864,45,7180,RL,HdBoard,1-Story,1FamDet
321 ROCKWELL AVE,09-07-227-320,01,2011,117500,WRD,864,136.00,1972,Detachd,1,3,1,0,1,0,Yes,0,864,77,8865,RL,VinylSd,1-Story,1FamDet
4620 WEBSTER ST,09-07-290-080,12,2010,215000,WRD,1836,117.10,2004,Attachd,2,3,2,0,0,0,Yes,1,1860,1,9100,RL,VinylSd,1-Story,1FamDet
4602 WEBSTER ST,09-07-290-110,07,2010,173900,WRD,1270,136.93,1997,Attachd,2,3,2,0,0,0,Yes,0,1270,0,11700,RL,VinylSd,1-Story,1FamDet
816 POE AVE,09-07-418-030,05,2011,191950,WRD,1268,151.38,2009,Attachd,2,3,2,0,0,0,Yes,1,1258,0,9627,RL,VinylSd,1-Story,1FamDet
1020 POE AVE,09-07-420-050,11,2010,173500,WRD,1330,130.45,2006,Attachd,2,3,2,0,0,0,Yes,1,1330,0,8334,RL,VinylSd,1-Story,1FamDet
237 TODD CIR,09-08-102-170,06,2010,144000,WRD,1196,120.40,1968,Attachd,1,3,1,0,1,0,Yes,0,1196,89,10044,RL,MetalSd,1-Story,1FamDet
206 DOTSON DR,09-08-130-020,07,2011,114500,WRD,914,125.27,2002,No Data,0,2,1,0,1,0,Yes,0,914,84,8050,FS-RL,VinylSd,1-Story,1FamDet
4105 HARRIS ST,09-08-152-260,06,2011,170000,WRD,1125,151.11,2006,Attachd,2,2,1,1,1,0,Yes,0,1125,76,8536,FS-RL,VinylSd,1-Story,1FamDet
4128 COCHRANE PKY,09-08-154-165,06,2010,472131,New,1795,263.03,2010,Attachd,3,3,2,0,1,0,Yes,2,1795,85,12411,RL,CemntBd,1-Story,1FamDet
241 VILLAGE DR,09-08-203-040,04,2011,99000,WRD,960,103.13,1960,None,0,3,1,0,1,0,Yes,0,960,38,6410,RL,HdBoard,1-Story,1FamDet
302 SUNFLOWER DR,09-08-212-010,07,2010,152000,Ctr,1121,135.59,2003,Attachd,2,2,1,0,1,0,Yes,0,1121,91,9355,FS-RL,VinylSd,1-Story,1FamDet
407 HILLTOP RD,09-08-275-210,06,2011,126000,WRD,1750,72.00,1956,BuiltIn,0,3,1,0,0,0,Yes,0,962,0,8172,RL,AsbShng,1-Story,1FamDet
3313 MORNINGSIDE ST,09-08-276-130,07,2011,103000,COD,1032,99.81,1956,BuiltIn,1,3,1,0,1,0,Yes,0,637,55,7692,RL,HdBoard,1-Story,1FamDet
1318 BIG BLUESTEM CT,09-09-452-040,04,2011,145000,WRD,1837,78.93,1987,Attachd,2,2,2,1,0,0,Yes,0,72,0,11412,F-PRD,MetalSd,1-Story,1FamDet
2220 ASH AVE,09-09-452-102,04,2011,177000,WRD,1680,105.36,1995,Attachd,2,4,2,0,1,0,Yes,0,1680,94,17871,F-PRD,VinylSd,1-Story,1FamDet
3102 DIAMOND ST,09-13-351-020,01,2011,335000,WRD,1852,180.89,1985,2 Types,5,2,2,0,1,0,Yes,1,1852,82,78570,RL,HdBoard,1-Story,1FamDet
327 RUBY CIR,09-14-460-150,03,2011,241000,WRD,1609,149.78,1996,Attachd,3,3,2,0,1,0,Yes,0,1609,66,12610,RL,MetalSd,1-Story,1FamDet
622 CRYSTAL ST,09-14-476-010,07,2010,167000,WRD,1279,130.57,1977,Detachd,2,3,2,0,0,1,Yes,2,1196,77,10125,RL,Plywood,1-Story,1FamDet
2708 STATE AVE,09-16-125-360,06,2010,160000,WRD,1687,94.84,1948,Detachd,2,3,1,0,1,0,Yes,2,747,92,57200,RL,Wd Sdng,1-Story,1FamDet
2610 TIMBERLAND RD,09-16-326-010,06,2011,247500,WRD,1707,144.99,1981,Attachd,2,2,2,1,1,0,Yes,1,1686,4,16669,RL,Plywood,1-Story,1FamDet
3027 COTTONTAIL LN,09-16-384-040,11,2010,223175,New,1624,137.42,2010,Attachd,2,3,2,0,0,0,Yes,0,1624,1,9111,F-PRD,VinylSd,1-Story,1FamDet
3120 COTTONTAIL LN,09-16-386-100,09,2010,242616,New,1460,166.18,2010,Attachd,3,2,2,0,0,0,Yes,1,1378,0,12342,F-PRD,VinylSd,1-Story,1FamDet
2507 WHITE OAK DR,09-16-402-115,04,2011,190000,WRD,1651,115.08,1986,Attachd,2,3,2,0,1,0,Yes,1,1606,79,12416,RL,VinylSd,1-Story,1FamDet
2317 SUNCREST DR,09-16-455-130,06,2011,297500,WRD,1861,159.86,2002,Attachd,2,3,2,1,0,0,Yes,1,1835,31,11221,RL,VinylSd,1-Story,1FamDet
2722 DARTMOOR DR,09-17-425-220,08,2010,285000,WRD,1958,145.56,2001,Attachd,4,3,2,0,1,0,Yes,1,1830,91,18700,RL,HdBoard,1-Story,1FamDet
2714 DARTMOOR DR,09-17-425-230,08,2010,270000,WRD,1848,146.10,2002,Attachd,3,3,2,0,1,0,Yes,1,1848,63,19228,RL,VinylSd,1-Story,1FamDet
321 JEWEL DR,09-23-201-020,06,2010,169000,WRD,1264,133.70,1965,Attachd,2,2,1,0,1,0,Yes,1,1068,4,15300,RL,Plywood,1-Story,1FamDet
623 JEWEL DR,09-23-201-140,07,2011,154000,WRD,1032,149.22,1967,Attachd,1,3,1,0,1,0,Yes,0,1032,71,11400,RL,HdBoard,1-Story,1FamDet
3309 SOUTHDALE DR,09-23-204-050,03,2011,125000,WRD,1040,120.19,1963,Attachd,2,3,1,0,1,0,Yes,0,1064,59,25286,RL,HdBoard,1-Story,1FamDet
3508 EMERALD DR,09-23-205-015,06,2010,166500,WRD,1344,123.88,1999,Attachd,2,3,2,0,0,0,Yes,1,1344,0,11875,RL,VinylSd,1-Story,1FamDet
630 JEWEL DR,09-23-226-050,04,2011,159500,WRD,1701,93.77,1968,Attachd,1,3,2,0,1,0,Yes,0,1127,71,10500,RL,Plywood,1-Story,1FamDet
3451 SOUTHDALE DR,09-23-229-060,04,2011,148000,WRD,1040,142.31,1976,Attachd,1,3,1,1,1,0,Yes,1,1040,96,8172,RL,VinylSd,1-Story,1FamDet
3477 SOUTHDALE DR,09-23-229-090,10,2010,109000,WRD,1073,101.58,1975,Attachd,2,3,1,1,1,0,Yes,0,1073,95,10016,RL,VinylSd,1-Story,1FamDet
732 GARNET DR,09-23-230-190,06,2010,130000,Ctr,874,148.74,1971,Detachd,1,3,1,0,0,0,Yes,0,864,54,6953,F-PRD,VinylSd,1-Story,1FamDet
414 GARDEN RD,09-23-251-150,10,2010,108000,WRD,1324,81.57,1962,Detachd,2,3,1,0,1,0,Yes,1,988,0,27875,RL,HdBoard,1-Story,1FamDet
3815 MINNETONKA AVE,09-23-275-170,05,2011,85000,WRD,1080,78.70,1982,None,0,4,2,0,0,0,Yes,0,816,79,12195,RL,MetalSd,1-Story,1FamDet
605 GARDEN RD,09-23-276-010,07,2011,147000,WRD,922,159.44,1984,Attachd,2,3,1,0,1,0,Yes,0,876,100,9945,RL,MetalSd,1-Story,1FamDet
3902 MINNETONKA AVE,09-23-277-150,04,2011,121000,WRD,816,148.28,1981,None,0,3,1,0,0,1,Yes,0,816,54,6600,RL,VinylSd,1-Story,1FamDet
