Property Address,Reference#,Mo,Yr,Price,Inst,Area,$/SF,YrBlt,GarType,Gar#,BR,FB,HB,BB,BH,C/A,FP,Bsmt,%Fin,Land SF,Zone,Exterior1,Style,Type
4305 CRESTMOOR AVE,05-28-218-030,06,2010,162500,WRD,1324,122.73,2005,Attachd,2,3,2,0,1,0,Yes,1,1324,33,10237,RL,VinylSd,1-Story,1FamDet
4011 WELBECK DR,05-28-231-010,10,2010,220000,WRD,1530,143.79,2004,Attachd,3,3,2,0,1,0,Yes,1,1530,85,14572,RL,VinylSd,1-Story,1FamDet
3025 BAYBERRY RD,05-28-340-040,06,2011,392500,WRD,2196,178.73,1998,Attachd,3,2,2,0,1,0,Yes,3,2196,75,10320,RL,VinylSd,1-Story,1FamDet
3127 ASPEN RD,05-28-358-010,09,2010,270000,WRD,1720,156.98,1996,Attachd,2,3,2,0,1,0,Yes,1,1720,53,10593,RL,VinylSd,1-Story,1FamDet
3311 CULLEN DR,05-28-427-060,10,2010,232500,WRD,1616,143.87,2008,Attachd,2,3,2,0,0,0,Yes,1,1616,0,9558,FS-RL,CemntBd,1-Story,1FamDet
3415 CULLEN DR,05-28-429-010,11,2010,274310,New,1444,189.97,2010,Attachd,3,3,2,0,1,0,Yes,1,1438,48,10877,FS-RL,CemntBd,1-Story,1FamDet
2426 DALTON CIR,05-28-429-130,01,2011,295000,WRD,1660,177.71,2006,Attachd,2,3,2,0,1,0,Yes,1,1660,73,10182,FS-RL,VinylSd,1-Story,1FamDet
3218 CULLEN DR,05-28-431-100,09,2010,275000,New,1426,192.85,2010,Attachd,3,3,2,0,1,0,Yes,0,1426,81,9984,FS-RL,VinylSd,1-Story,1FamDet
2511 YORKSHIRE ST,05-28-439-080,10,2010,239000,WRD,1506,158.70,2005,Attachd,2,3,2,0,1,0,Yes,1,1494,71,8251,FS-RL,VinylSd,1-Story,1FamDet
2723 KINGSTON DR,05-28-452-020,04,2011,205750,WRD,1218,168.92,2010,Attachd,2,2,2,0,0,0,Yes,0,1218,0,8113,F-VR,VinylSd,1-Story,1FamDet
2717 KINGSTON DR,05-28-452-030,06,2010,257856,New,1900,135.71,2010,Attachd,2,3,2,0,0,0,Yes,0,1900,0,8667,F-VR,VinylSd,1-Story,1FamDet
2705 CLAYTON DR,05-28-454-040,06,2010,237250,New,1500,158.17,2010,Attachd,2,2,2,0,0,0,Yes,0,1500,0,12269,F-VR,VinylSd,1-Story,1FamDet
2734 CLAYTON DR,05-28-456-060,12,2010,430000,New,2376,180.98,2010,Attachd,3,3,2,1,1,0,Yes,1,2376,66,9900,F-VR,CemntBd,1-Story,1FamDet
2610 KINGSTON DR,05-28-480-030,07,2010,260000,WRD,1522,170.83,2005,Attachd,2,3,2,0,0,0,Yes,1,1522,71,9231,F-VR,VinylSd,1-Story,1FamDet
2606 CLAYTON DR,05-28-488-130,06,2011,224750,WRD,1301,172.75,2006,Attachd,2,2,2,0,1,0,Yes,1,1293,69,7200,F-VR,VinylSd,1-Story,1FamDet
5405 MARYLAND ST,05-31-367-010,07,2011,195000,WRD,1400,139.29,2005,Attachd,2,3,2,0,0,0,Yes,0,1400,0,11024,RL,VinylSd,1-Story,1FamDet
5428 MARYLAND ST,05-31-369-040,06,2011,180000,WRD,1208,149.01,2004,Attachd,2,3,2,0,1,0,Yes,0,1208,78,12909,RL,VinylSd,1-Story,1FamDet
5409 KANSAS DR,05-31-375-070,10,2010,144900,WRD,1141,126.99,2005,Detachd,2,3,1,1,1,0,Yes,0,1141,55,13072,RL,VinylSd,1-Story,1FamDet
5405 KANSAS DR,05-31-375-080,08,2010,141500,WRD,1114,127.02,2004,Detachd,2,3,1,1,0,0,Yes,0,1114,0,13072,RL,VinylSd,1-Story,1FamDet
5311 KANSAS DR,05-31-375-120,05,2011,140250,WRD,1114,125.90,2003,Detachd,2,3,1,0,1,0,Yes,0,1114,58,13695,RL,VinylSd,1-Story,1FamDet
5225 KANSAS DR,05-31-375-140,07,2010,117000,WRD,1094,106.95,2003,Detachd,2,3,1,0,1,0,Yes,0,1094,67,12450,RL,VinylSd,1-Story,1FamDet
