Class,Content
1,syllabus
1,M1S1-Introduction
2,M2S1-Data
2,M1S3-CategoricalData
3,M1S3-CategoricalData
3,UPS Worksheet
3,M2S1-NumericalData
4,M2S1-NumericalData
4,M2S2-Distributions
