minute,species,code,distance,angle
1,RWBL,1VSM,43,15
2,HMCR,1A,277,35
1,DICK,1VSM,55,45
3,COYE,1ASM,76,75
1,BHCO,2VM,25,170
5,RPHE,1A,300,315
1,EAME,1ASM,55,320
4,BLJA,3A,377,325
